제목,상품코드,상품ID,리뷰_내용,평점,감정키워드,작성자,작성일,도움됨,댓글수
소년이 온다,9788936434120,S000000610612,"역사를 잊고 살아갈 순 없습니다.
정작 읽어야할 사람들은 안 읽는 것 같네요.",4,공감돼요,yo****,2023-05-16,481,5
소년이 온다,9788936434120,S000000610612,"내가 태어나기 약 2년전 1980년 5월 광주에서 외치는 소리를 지금 2016년 5월에 듣는다. '기억해주세요' 라는 외침을...
내가 보지 못한걸 기억하기 위해 [소년이온다] 책을 펼쳤고, 영화 '화려한휴가'를 봤고, '솔아 솔아 푸르른 솔아' 음악을 들었다. 
내가 할 수 있는 일이라곤 기억해주는 것, 잊지 않는 것, 몇년이 흘렀지만 같이 분노해주고 슬퍼해주는 것, 이것 뿐이다. 
소설 속 표현처럼 '희생자가 되지 않기위해', 죽을 것을 뻔히 알면서도, 이기지 못할 것을 알면서도, 나몰라라 피하면 그만인 것을, 지은이 한강의 표현처럼 '인간이 무엇이지 않기 위해 무엇을 했던' 1980년 5.18 광주 민주화운동, 그들을 기억한다.

읽기 전 마음의 준비를 하고 읽는 것을 권한다. 문학평론가 신형철의 추천사 표현 처럼 '[소년이 온다]는 한강이 쓴 광주 이야기라면 읽는 쪽에서도 마음의 준비가 필요하겠다고 각오한 사람조차 휘정거리게 만든다'
5월이니까, 5월에 읽기 적합한 책이라 가볍게 선택하고 읽었는데 읽는 내내 마음이 불편했다. 광주를 다시 읽고 광주를 관광이 아닌 추모로 방문하고 싶다.",4,,da********,2016-05-11,271,0
소년이 온다,9788936434120,S000000610612,이 책을 읽기 전과 후의 저는 다른 사람인 것 같습니다,4,,ea*****,2021-11-16,248,2
소년이 온다,9788936434120,S000000610612,"한강 작가의 노벨상 소식에 쾌재를 부를 수밖에 없던 이유는 혐오의 시대에서 인터넷에 팽배하는 호남 혐오와 페미니즘 혐오에 진저리 나있었기 때문이다.
광주의 숭고한 희생에서 비롯된 민주화에 감사함은 커녕 그저 조롱거리로만 일삼는 사람들이 무언가 잘못됨을 느끼길 바라고 또 바란다.
똑같은 역사가 반복되지 않길 바라며.",4,고마워요,wi*******************,2024-10-14,246,0
소년이 온다,9788936434120,S000000610612,"양장으로 나와서 소장용으로 샀어요 
이 글에 제가 뭐라고 리뷰를 달겠어요 누구나 한번은 꼭 읽어보셨으면",4,최고예요,ar******,2024-10-08,182,0
소년이 온다,9788936434120,S000000610612,역사를 알고 있어야  아픈 역사를 또 만들지 않을것이다..,4,공감돼요,si*****,2021-11-16,131,0
소년이 온다,9788936434120,S000000610612,"한강 작가의 ""소년이 온다"" , 가슴이 먹먹해진다
광주의 80년 5.18 당시, 그리 멀지 않은 곳에 살고 있었는데,
무슨 일이 벌어지는 지를 어찌 이리 모를 수 있을까!

당시의 사건 속에 있었던 자들에게는
죽은 자나, 살아 남은 있는 자나... 결코 삶에서 고통만이 있다
그리고 역사는 늘 반복 되풀이 된다는 점에,
한계를 느낀다.

책 속에서,
""네가 죽은 뒤 장례식을 치르지 못해,
내 삶이 장례식이 되었다.
용서할 수 없는 물줄기가 분수대에서 뿜어져나온 뒤에, 어디서나 사원의 불빛이 타고 있었다.
봄에 피는 꽃들 속에, 눈송이들 속에, 날마다 찾아오는 저녁들 속에, 다 쓴 음료수 병에 네가 꽂은 양초 불꽃들이...""",4,공감돼요,wj*******,2017-10-29,107,0
소년이 온다,9788936434120,S000000610612,"그때 그 시절 그 참혹했던 역사속에서 죄가 없던 사람들의 이름과 애국가 소리가 마음 속 깊숙히에서 절절히 울려 퍼진다 살아남은 자들은 무엇을 위해 살아남았고 죽은 자들은 무엇을 위해 죽었나, 책을 읽으면 알 수 있을 것 같다. 광주의 그 며칠간의 날들은 모든 이에게 아픈 시간이라는 걸.",4,공감돼요,ki******,2017-06-27,87,0
소년이 온다,9788936434120,S000000610612,읽고나서 늪속에 빠진 기분이였어요.너무도 좋은책이에요,4,고마워요,mh****,2017-10-21,80,0
소년이 온다,9788936434120,S000000610612,"다시 읽어보려고 주문합니다
수상 축하드려요!",4,고마워요,qk********,2024-10-10,69,0
소년이 온다,9788936434120,S000000610612,잊지 말아야 할 역사,4,고마워요,do*****,2022-01-18,47,0
소년이 온다,9788936434120,S000000610612,이 책을 지난달에 구매한 나 자신을 칭찬합니다 ㅎㅎ,4,고마워요,sh*******,2024-10-11,43,0
소년이 온다,9788936434120,S000000610612,민주주의와 자유는 피로 성취한것,4,고마워요,se******,2024-08-22,41,0
소년이 온다,9788936434120,S000000610612,페이지를 넘기는 매 순간이 마음 아프지만 그래도 더 많은 사람들이 읽었으면,4,고마워요,du********,2022-01-09,32,0
